0,1,2,3,4
2.389947,4.7784986,1.3667196,0.37152883,4.114153
0.69227755,6.079653,5.5942793,0.8559335,3.9944308
8.7330885,7.318444,4.5045614,2.6958866,13.231115
5.6080327,2.1061502,1.5437845,3.75785,8.602185
1.669474,5.8342133,4.6579847,1.9254644,3.969503
1.2155687,3.6284356,4.854767,1.8445994,1.9715636
1.0983061,4.4738173,4.270571,1.9391499,4.393616
5.9582376,6.4967995,3.3268874,5.05684,10.7692795
5.6406016,6.6542935,2.7313366,5.004738,7.9419246
1.4455655,2.016648,2.5081413,2.4940653,1.8921186
0.5081231,5.246739,4.4419694,1.9870809,4.0706525
5.1133986,9.742256,3.6331878,3.9169645,14.320587
3.637862,6.4660783,1.5020661,4.8498845,10.275302
3.1446095,6.834041,3.87973,2.153977,8.397208
1.7380773,2.129046,2.6829214,1.6194037,4.4985037
1.0935525,3.0471444,3.621491,4.2676015,10.062875
2.3521283,3.04377,1.5537248,2.9445426,5.495317
1.6197251,3.0736723,2.4950094,3.9747252,6.316396
1.2980092,3.3253553,1.8640493,3.5268526,4.7454233
2.2158554,1.9496275,2.9121475,1.467181,2.3465357
3.6971161,7.1344476,1.4674146,1.6599301,4.07295
3.0814269,8.052831,3.2055776,3.620506,7.7104197
4.111422,9.715972,3.4711251,6.342114,9.173757
1.9020418,5.7197146,2.1050723,6.0711975,9.001864
1.3284202,1.3889172,1.7502878,5.590704,5.3264656
1.5894727,3.0094461,2.6532412,3.6575778,4.1533675
2.5855222,5.7571483,1.2173973,4.5718303,8.314492
2.5319915,6.939247,2.5328727,5.7144084,9.012186
2.1760247,4.740564,3.048693,1.7441999,2.730936
1.3457516,1.5404825,2.531348,1.7560947,3.183332
0.85061675,3.4200077,2.958175,4.6122727,6.3713374
2.1623678,2.7334034,1.4248344,3.72588,6.212579
1.4311141,5.405428,4.9337645,2.8427415,3.9861193
1.3611808,6.5892487,5.351383,3.5864713,5.3620653
5.047688,6.2685585,1.6667359,4.6454034,6.1698656
3.0237937,4.9756,2.0934706,4.099158,5.8767476
2.5903676,5.522828,2.0492296,1.2297397,5.8075314
3.0070267,4.030265,1.8758192,2.4934883,6.1022496
2.1780524,5.067414,2.0657723,5.688434,12.802333
2.9482875,9.780134,2.9452574,4.1632576,11.725451
0.35555723,2.9441457,2.2179058,1.5079379,0.4524418
0.87132263,4.4606504,5.0593815,2.330074,3.401403
1.0639815,0.18063338,1.7530558,2.455199,1.169916
